"corpus","classlaweb_bs"
"subcorpus","-"
"concordance size","20159"
"query","Query:[lemma_lc=""arheol.*""]"
"text.genre", "Frequency", "Relative density", "Relative in text types"
"braniteljskiportal.ba",3, 19.61967, 4.92872
"frama-mostar.ba",3, 69.24611, 17.39554
"vta.ba",3, 579.12055, 145.48276
"kravica.ba",3, 5107.80363, 1283.14799
"prnjavor.info",3, 7.00308, 1.75927
"blog.amber.ba",3, 866.49578, 217.67523
"bosnafolk.com",3, 92.41853, 23.21676
"okbih.ba",3, 1438.10753, 361.27168
"2gimnazija.edu.ba",3, 78.00720, 19.59644
"bosnasrebrenaarhiv.ba",3, 117.16272, 29.43283
"ero.ba",3, 55.81516, 14.02151
"viptravels.ba",3, 2486.37204, 624.60962
"darprirode.ba",3, 2460.75518, 618.17433
"hadzici.ba",3, 772.29806, 194.01151
"jasam.zemaljskimuzej.ba",3, 892.06281, 224.09801
"micromreza.com",3, 44.97081, 11.29726
"medresa.edu.ba",3, 175.69841, 44.13777
"zenicablog.com",3, 105.99040, 26.62619
"pale.rs.ba",3, 92.23366, 23.17032
"nekropola.ba",3, 1555.56140, 390.77765
"navis.ba",3, 2902.07652, 729.04010
"mediain.ba",3, 105.79041, 26.57595
"majkaidijete.ba",3, 98.74028, 24.80487
"biserje.ba",3, 363.22297, 91.24643
"kliker.info",3, 36.76896, 9.23685
"sanela.info",3, 712.74514, 179.05103
"lgbti.ba",3, 26.08983, 6.55411
"tekijablagaj.ba",3, 6716.56068, 1687.28909
"akos.ba",3, 37.22490, 9.35139
"tkh.ba",3, 718.83735, 180.58147
"koncesijebih.ba",3, 324.47682, 81.51288
"obrazovniportal.ba",3, 113.36452, 28.47867
"opcinabuzim.ba",3, 47.11925, 11.83698
"mreza-mira.net",3, 52.79979, 13.26401
"poduzetna.ba",3, 352.64720, 88.58965
"tk.gov.ba",3, 29.71124, 7.46386
"mas.unsa.ba",3, 73.64268, 18.50002
"prvenovine.com",3, 155.70420, 39.11496
"hayat.ba",3, 130.82728, 32.86555
"radiobrcko.ba",3, 96.03806, 24.12603
"zeda.ba",3, 25.69757, 6.45557
"rotary.ba",3, 824.27146, 207.06792
"zepce.ba",3, 32.21303, 8.09234
"miruhbosne.com",3, 238.33563, 59.87307
"upfbihpravnapomoc.ba",3, 7.12931, 1.79098
"samohranadjevojka.blogspot.com",3, 1974.21803, 495.94974
"kresevo.net",3, 748.43600, 188.01705
"glaskrajine.ba",3, 44.13548, 11.08742
"hnsbih.ba",3, 83.01504, 20.85448
"ntvjata.com",3, 146.66493, 36.84417
"diwan-magazine.com",3, 321.46343, 80.75587
"cipiripi-bosna.blogspot.com",3, 1523.41432, 382.70188
"pentagram.forumsr.com",3, 803.47473, 201.84350
"diskriminacija.ba",2, 7.92942, 1.99197
"knjigoljubac.ba",2, 329.32216, 82.73009
"svjetovni-franjevci.info",2, 338.91121, 85.13899
"skyscrapercity.com",2, 1501.01117, 377.07391
"kpktz.ba",2, 23.87545, 5.99783
"nub.ba",2, 49.50881, 12.43727
"djeca.rs.ba",2, 30.97469, 7.78125
"bc-bby.com",2, 135.64417, 34.07561
"agroportal.ba",2, 52.14548, 13.09964
"inforadar.ba",2, 49.29881, 12.38451
"kljuc.ba",2, 76.78414, 19.28919
"arhivsa.ba",2, 139.21388, 34.97237
"muzejtesanj.org",2, 4485.27508, 1126.76056
"bosnainfo.ba",2, 44.71094, 11.23198
"artschoolsa.edu.ba",2, 178.16635, 44.75775
"novine.ba",2, 37.99520, 9.54490
"blog.olx.ba",2, 23.07073, 5.79567
"vuk.mojforum.si",2, 9.96264, 2.50275
"biolog.ba",2, 205.50757, 51.62623
"zasrebrenicu.ba",2, 10.15634, 2.55141
"mizbihac.ba",2, 65.46312, 16.44520
"mseus.ba",2, 327.34523, 82.23346
"citytravel.ba",2, 779.60862, 195.84802
"glasbosanski.ba",2, 23.74088, 5.96403
"osbukovica.ba",2, 122.89468, 30.87277
"kocerin.info",2, 315.07691, 79.15150
"villafortuna.ba",2, 4944.94613, 1242.23602
"kakanj.gov.ba",2, 271.57058, 68.22213
"mangala1.kim.ba",2, 297.59881, 74.76077
"fojnica.ba",2, 26.97514, 6.77651
"henatrebisnjici.com",2, 189.90443, 47.70651
"agroklub.ba",2, 79.97753, 20.09142
"osmccsa.edu.ba",2, 106.83956, 26.83951
"umhis.ba",2, 304.29856, 76.44383
"manager.ba",2, 13.65974, 3.43151
"trecaosnovna.edu.ba",2, 278.31096, 69.91540
"preporod.info",2, 84.91215, 21.33106
"aco.ba",2, 1047.40998, 263.12327
"tourism-tk.ba",2, 747.82672, 187.86399
"ppp.dws.ba",2, 6.02545, 1.51367
"rogatica-bih.blogspot.com",2, 685.26108, 172.14667
"vlada-hnz-k.ba",2, 27.28204, 6.85361
"prf.unze.ba",2, 185.13507, 46.50838
"karike.ba",2, 6.02096, 1.51254
"ba.usembassy.gov",2, 175.23691, 44.02183
"hamdocamo.wordpress.com",2, 154.31690, 38.76645
"hotel-swissplus.com",2, 1992.33315, 500.50050
